arc_uid,source,target,interior_flag,edge_uid,child_block_uid,parent_block_uid,leftrightflag,street_uid
2022660,2603,2352,0,1584793,1153849,17619,L,297046
2034086,21792,18893,1,1633028,999187,17519,L,79565
2034086,18893,21792,1,1601694,999187,17519,R,79565
2057777,11948,8061,0,1644288,321870,16351,R,181484
2057777,8061,11948,0,1644290,321864,16353,L,181484
2057207,6683,6683,0,1637688,1040494,16337,L,417149
2057207,6683,6683,0,1637691,321710,16337,R,417149
4577816,1121,2152,0,7221843,1174757,17072,L,0
4577816,2152,1121,0,7221844,1174757,17072,R,0
4585607,10543,7390,0,7229683,996334,16330,L,128891
4585607,7390,10543,0,7229684,897404,16284,R,128891
4609921,18909,18909,0,7298005,829974,17021,L,181540
4609921,18909,18909,0,7298004,321249,17021,R,181540
4582366,6421,9840,0,7228743,321185,17084,L,235560
4582366,9840,6421,0,7228744,321133,17052,R,235560
3308827,4283,16254,0,4537121,854479,17379,L,90339
3308827,16254,4283,0,4537122,995504,17327,R,90339
2049196,6381,10710,0,1620595,319432,16674,L,425464
2049196,10710,6381,0,1620594,319400,16674,R,425464
4582116,22895,2973,0,7235123,1147344,16444,L,268510
4582116,2973,22895,0,7235124,1154426,16444,R,268510
4575379,17943,12969,0,7230527,996544,16452,L,125005
4575379,12969,17943,0,7230528,996543,16452,R,125005
3626361,1833,8227,0,5844919,811606,17461,L,104973
3626361,8227,1833,0,5844926,811604,17461,R,104973
2051849,11143,14703,0,1643657,320279,16740,L,154794
2051849,14703,11143,0,1643655,851183,16735,R,154794
2121139,7625,6856,0,1906607,1042141,50147,L,252362
2121139,6856,7625,0,1906605,1042140,50147,R,252362
4580252,13448,11481,0,7227477,1195268,17366,L,0
4580252,11481,13448,0,7227478,1195268,17366,R,0
4612533,19607,19292,0,7302876,1067771,17561,L,25645
4612533,19292,19607,0,7302877,755898,17561,R,25645
4579334,22794,6321,0,7743580,1201381,17423,L,309749
4579334,6321,22794,0,7743581,1201381,17423,R,309749
4703782,10037,4543,0,7543376,1029138,16423,L,76625
4703782,4543,10037,0,7543377,1029137,16423,R,76625
4926114,10222,10014,0,8032544,289154,16242,L,0
4926114,10014,10222,0,8032545,289154,16242,R,0
2050905,1641,10167,0,8543389,841463,16549,L,341306
2050905,10167,1641,0,8543390,319957,16492,R,341306
5572463,3805,19260,0,9581714,1154807,17539,L,331440
5572463,19260,3805,0,9581715,1154806,17539,R,331440
3310158,16923,21673,0,8268578,999124,16672,L,400054
3310158,21673,16923,0,8268579,718632,16666,R,400054
5536776,14778,7173,0,9485355,1077710,17286,R,275133
5536776,7173,14778,0,9485354,315995,17286,L,275133
2034248,15194,13374,0,8539203,314549,17486,L,455924
2034248,13374,15194,0,8539204,842289,17486,R,455924
4577483,13075,11047,0,7231617,1071975,16627,L,331594
4577483,11047,13075,0,7231618,1195247,16627,R,331594
2034501,17012,15884,0,8540783,314642,17403,L,408338
2034501,15884,17012,0,8540784,1043451,17411,R,408338
5612321,21391,21411,0,9665597,314168,17395,L,342358
5612321,21411,21391,0,9665598,1205107,17395,R,342358
2057722,3421,18507,0,1637742,321851,16300,L,107059
2057722,18507,3421,0,1637739,321873,16288,R,107059
2055562,21565,8041,0,1627999,321257,16415,L,201304
2055562,8041,21565,0,1628137,742250,16415,R,201304
2052916,5292,21979,0,1643677,320593,16696,L,99730
2052916,21979,5292,0,1643678,320567,16639,R,99730
786571,5306,2426,0,3214816,551555,16234,L,343773
786571,2426,5306,0,3214802,818238,16234,R,343773
2034868,967,17633,0,1633181,314695,17509,L,68236
2034868,17633,967,0,1633180,314700,17510,R,68236
4575234,1176,22440,0,7231240,1085839,16382,R,0
4575234,22440,1176,0,7231239,1076974,16262,L,0
4579330,22464,16147,0,7235790,874330,17495,L,386449
4579330,16147,22464,0,7235789,1004936,17496,R,386449
2052037,21876,14241,0,1624472,320338,16930,L,195794
2052037,14241,21876,0,1624513,320301,16930,R,195794
4575425,9804,7283,0,7239120,999500,17010,R,0
4575425,7283,9804,0,7239119,999501,17084,L,0
3311461,4577,9051,1,4543681,339548,16320,L,388392
3311461,9051,4577,1,4543682,339548,16320,R,388392
4576723,5433,8990,0,7240994,1154870,16560,L,204842
4576723,8990,5433,0,7240993,1154870,16560,R,204842
4242832,21666,5508,0,6680027,928495,16273,R,479361
4242832,5508,21666,0,6680028,928493,16273,L,479361
4539485,6164,16866,0,7148205,982742,16496,R,239566
4539485,16866,6164,0,7148204,1028967,16494,L,239566
2043842,17844,18566,0,1612606,317606,17142,L,62762
2043842,18566,17844,0,1612658,317662,16991,R,62762
4575242,14696,12061,0,7224631,757649,17051,L,0
4575242,12061,14696,0,7224632,757649,17051,R,0
2051959,23149,19362,0,1624351,320304,16811,L,213976
2051959,19362,23149,0,1624350,320317,16726,R,213976
3658929,17941,2410,0,6616127,829913,16428,L,181251
3658929,2410,17941,0,6616128,829902,16428,R,181251
2045629,9809,14952,0,1615461,318313,16816,L,70894
2045629,14952,9809,0,1615460,318257,16825,R,70894
2055049,17951,15201,0,1627687,321149,17052,L,235552
2055049,15201,17951,0,1627677,321133,17052,R,235552
4581515,12588,12957,0,7233252,1043596,16746,R,224208
4581515,12957,12588,0,7233251,1043592,16629,L,224208
786361,8026,16380,0,3219029,552212,17489,L,268518
786361,16380,8026,0,3218785,552218,17482,R,268518
4578938,16306,6355,0,7233701,315631,17270,L,60071
4578938,6355,16306,0,7233702,849516,17325,R,60071
4699878,1589,18247,0,7523266,1029415,17417,L,525271
4699878,18247,1589,0,7523267,1029414,17417,R,525271
2054515,21943,13501,0,1643986,742197,17120,L,388818
2054515,13501,21943,0,1643987,320996,17121,R,388818
5866437,2240,503,0,10574116,1000354,17211,L,79393
5866437,503,2240,0,10574117,316609,17212,R,79393
3147851,21005,10546,1,4306916,1210452,16442,L,288538
3147851,10546,21005,1,4306917,1210452,16442,R,288538
4580277,19404,14759,0,7234493,315886,17280,L,371738
4580277,14759,19404,0,7234494,315907,17280,R,371738
4578937,10798,16002,0,7237946,1147502,17392,L,108214
4578937,16002,10798,0,7237945,1147502,17392,R,108214
2036757,11826,386,0,1639180,930940,17316,L,66765
2036757,386,11826,0,1639179,315307,17316,R,66765
3563759,7009,76,0,5904888,811616,17461,L,332982
3563759,76,7009,0,5904889,811605,17461,R,332982
3775731,4616,6346,0,6054643,822260,16427,L,515534
3775731,6346,4616,0,6054644,822256,16427,R,515534
2043951,8658,21043,0,1612848,317650,16991,L,220681
2043951,21043,8658,0,1612847,317704,16988,R,220681
4581414,8560,21316,0,7225211,318933,17430,L,62762
4581414,21316,8560,0,7225212,1154844,16598,R,62762
3147417,10744,14590,0,4306577,321096,17009,R,210045
3147417,14590,10744,0,4306576,321084,17009,L,210045
2037517,21535,14930,0,1605453,315529,17306,R,151947
2037517,14930,21535,0,1633445,1005199,17363,L,151947
3389257,16592,353,0,5257954,552236,17482,L,96269
3389257,353,16592,0,5257955,552253,17482,R,96269
3781633,1276,3484,0,6063895,724338,17473,L,213578
3781633,3484,1276,0,6063896,1000646,17473,R,213578
2055725,16151,301,0,1638769,321323,16488,R,422399
2055725,301,16151,0,1638767,715058,16488,L,422399
2023853,9885,19440,0,1585275,1029073,17613,L,207844
2023853,19440,9885,0,1585207,871483,17621,R,207844
4608942,10272,4454,0,7295830,1043602,16796,L,425078
4608942,4454,10272,0,7295831,1043602,16796,R,425078
3754281,7244,13392,0,6023746,319922,16581,L,309953
3754281,13392,7244,0,6023779,319904,16581,R,309953
4579729,4028,17344,0,7225961,311222,17623,L,424590
4579729,17344,4028,0,7225962,311203,17624,R,424590
2040336,20235,3952,0,1608622,316360,17298,L,370656
2040336,3952,20235,0,1608621,316396,17298,R,370656
2120257,6817,8657,0,1905770,339499,16537,L,379927
2120257,8657,6817,0,1905765,339481,16537,R,379927
4579825,9153,10067,0,7224647,311595,17629,L,123794
4579825,10067,9153,0,7224648,311555,17613,R,123794
2042942,7977,10293,0,1611337,317277,17178,L,108611
2042942,10293,7977,0,1611336,317305,17178,R,108611
2051188,4441,20971,1,1623272,320062,16740,L,80313
2051188,20971,4441,1,1639870,320062,16740,R,80313
2022760,17628,17935,0,1584896,311706,16243,L,270073
2022760,17935,17628,0,1584903,311739,16241,R,270073
4577146,12103,655,0,9583018,1174790,16598,L,178734
4577146,655,12103,0,9583019,1174790,16598,R,178734
219326,16803,20319,0,5904966,552251,17479,L,419628
219326,20319,16803,0,5904967,552257,17479,R,419628
4580891,5207,18530,0,7223384,1071976,16974,R,398514
4580891,18530,5207,0,7223383,1071976,16974,L,398514
4579691,14549,8084,0,7224939,1076970,16237,L,9984
4579691,8084,14549,0,7224940,311596,16238,R,9984
2038716,11073,9216,0,1632227,315850,17276,R,240834
2038716,9216,11073,0,1606020,997618,17276,L,240834
2041010,7411,16073,0,1609298,995482,17209,L,126902
2041010,16073,7411,0,1609297,316638,17209,R,126902
3311829,13805,3596,1,4544149,339901,50147,L,201841
3311829,3596,13805,1,4544150,339901,50147,R,201841
5866851,7288,1492,0,10575167,1210566,17446,R,641648
5866851,1492,7288,0,10575166,1201378,17446,L,641648
2057800,20794,528,0,1644308,321869,16288,R,85508
2057800,528,20794,0,1644309,321856,16288,L,85508
2119060,2960,18084,0,1906834,339393,16532,L,369630
2119060,18084,2960,0,1905427,339395,16532,R,369630
2051584,4538,10857,0,1623861,784240,16804,L,268510
2051584,10857,4538,0,1623859,1154945,16803,R,268510
2055674,6084,20499,1,1637219,772468,16888,L,242966
2055674,20499,6084,1,1637218,772468,16888,R,242966
2040519,15333,18274,0,1608821,316419,17429,L,167752
2040519,18274,15333,0,1608820,316462,17537,R,167752
2050451,13508,5240,0,1638214,1154886,16560,R,204842
2050451,5240,13508,0,1622180,1154882,16598,L,204842
2039432,4860,4535,0,1607506,316077,17346,L,373415
2039432,4535,4860,0,1607505,316112,17346,R,373415
2048814,14285,10398,0,1620039,997274,16587,L,60178
2048814,10398,14285,0,1620038,319342,16587,R,60178
2053699,21238,7601,0,1626125,1147346,16444,L,112601
2053699,7601,21238,0,1626282,320802,16444,R,112601
2045753,4319,20429,0,2745612,1005133,17586,R,0
2045753,20429,4319,0,2745611,1005133,17586,L,0
2120176,7683,13589,0,1907892,339382,16552,L,367776
2120176,13589,7683,0,1907890,339444,16552,R,367776
795483,15008,11505,0,3219323,552528,17579,L,158004
795483,11505,15008,0,3219324,552544,17579,R,158004
2048995,10089,16638,0,1620378,319402,16891,L,91720
2048995,16638,10089,0,1620216,997216,16891,R,91720
2056450,9699,21161,1,1628738,321513,16418,L,46884
2056450,21161,9699,1,1628737,321513,16418,R,46884
4575460,5822,14813,0,7235375,321185,17084,L,0
4575460,14813,5822,0,7235376,321185,17084,R,0
4181159,10900,22767,0,6595197,1174301,16244,R,25645
4181159,22767,10900,0,6595198,919379,17619,L,25645
4609537,5921,3183,0,7297203,903837,17042,L,25645
4609537,3183,5921,0,7297202,996570,17042,R,25645
2048442,17452,21349,0,1619533,319031,17555,L,384768
2048442,21349,17452,0,1619507,783903,17437,R,384768
4584665,7542,1070,0,7236457,1201373,17539,L,207813
4584665,1070,7542,0,7236458,1174773,17597,R,207813
4584682,1751,18022,0,7233401,1205109,17506,L,386449
4584682,18022,1751,0,7233402,1205110,17506,R,386449
4123223,14451,17695,0,7554514,1028806,16402,L,221541
4123223,17695,14451,0,7554515,881895,16458,R,221541
2036352,14426,13019,0,1603799,315119,17315,L,147146
2036352,13019,14426,0,1631973,315186,17370,R,147146
4581390,17115,14518,0,7234007,1210573,16602,L,196993
4581390,14518,17115,0,7234008,1154843,16600,R,196993
827209,22599,8098,0,3214950,551619,17578,L,427123
827209,8098,22599,0,3214949,551662,17578,R,427123
4599635,6882,20998,0,7271123,335746,50143,R,90791
4599635,20998,6882,0,7271122,339808,50148,L,90791
795352,22491,21847,0,3219174,999333,17444,L,469932
795352,21847,22491,0,3219173,552057,17416,R,469932
4195134,18744,6611,0,8395758,1071985,17440,L,154467
4195134,6611,18744,0,8395759,896431,17440,R,154467
4584566,4798,13032,0,8260515,1114647,17167,R,169814
4584566,13032,4798,0,8260514,1119481,17199,L,169814
5109797,21292,13175,0,8392884,1056829,16236,L,149637
5109797,13175,21292,0,8392885,818242,16236,R,149637
5042937,554,6632,0,8505825,1077665,16830,L,236599
5042937,6632,554,0,8505826,1086736,16826,R,236599
2055472,11870,18153,0,8258332,772468,16888,L,225044
2055472,18153,11870,0,8258333,770961,17026,R,225044
5575110,19828,12188,0,9587458,552178,17418,L,399474
5575110,12188,19828,0,9587459,1174770,17451,R,399474
5579603,13608,4363,0,9597406,1119475,16616,L,318849
5579603,4363,13608,0,9597407,1174749,16614,R,318849
4577453,21321,12769,0,7236864,1071975,16627,L,345383
4577453,12769,21321,0,7236863,997327,16627,R,345383
5860049,17173,6182,1,10558142,1201432,16501,L,604336
5860049,6182,17173,1,10558143,1201432,16501,R,604336
4577520,15225,18948,0,7228183,999180,16943,L,209150
4577520,18948,15225,0,7228184,999179,16950,R,209150
2041704,238,8952,0,2744975,818754,17214,L,279916
2041704,8952,238,0,2744976,1067782,17214,R,279916
2033596,19743,22872,0,1601147,1005634,17398,L,341934
2033596,22872,19743,0,1644642,998996,17393,R,341934
2038335,10586,10586,0,1606124,315729,17533,L,116580
2038335,10586,10586,0,1606148,315747,17533,R,116580
2119917,19825,3072,0,1907073,339376,16550,L,224832
2119917,3072,19825,0,1907072,742329,16550,R,224832
4712166,4465,10621,0,7576150,1028087,16227,R,527938
4712166,10621,4465,0,7576151,1201438,16227,L,527938
4576236,13049,207,0,7224531,1042120,16444,L,0
4576236,207,13049,0,7224532,1042120,16444,R,0
2039957,8358,16225,0,1608182,316215,17290,L,275133
2039957,16225,8358,0,1639671,779607,17290,R,275133
5263053,12110,14866,0,8746752,1201436,16253,L,604279
5263053,14866,12110,0,8746751,1114750,16305,R,604279
2037699,10821,4666,0,1605378,315485,17274,R,157806
2037699,4666,10821,0,1605379,315581,17275,L,157806
2052887,10228,21979,0,1625480,320589,16700,L,287404
2052887,21979,10228,0,1638586,320593,16696,R,287404
3658936,2821,14139,0,5904320,873217,16495,L,339438
3658936,14139,2821,0,5904321,826629,16522,R,339438
2040559,21498,9275,0,1608827,316428,17298,L,242467
2040559,9275,21498,0,1608826,316465,17298,R,242467
2046065,12852,16001,0,1616220,318411,17193,R,164213
2046065,16001,12852,0,1616221,318454,17207,L,164213
4578057,16565,14840,0,7236031,1174796,17550,L,0
4578057,14840,16565,0,7236032,1174796,17550,R,0
2055779,16348,19012,0,1628159,1210452,16442,R,101481
2055779,19012,16348,0,1628163,321338,16442,L,101481
4607950,2428,14109,1,7293644,789109,16845,L,319144
4607950,14109,2428,1,7293645,789109,16845,R,319144
4195037,8480,11474,0,6617345,1204733,17022,L,257386
4195037,11474,8480,0,6617346,895249,17075,R,257386
2057651,8544,18792,0,1644231,321816,16335,L,377329
2057651,18792,8544,0,1644207,321826,16309,R,377329
2054968,11893,11528,0,1627562,870444,17120,L,205258
2054968,11528,11893,0,1630228,742197,17120,R,205258
4575456,15972,19641,0,7230910,879855,17086,R,0
4575456,19641,15972,0,7230909,879855,17086,L,0
4608121,15793,18296,0,7294008,1174789,17165,L,0
4608121,18296,15793,0,7294009,1174789,17165,R,0
4608163,17077,16146,0,7294094,1154829,16602,L,336609
4608163,16146,17077,0,7294095,1154829,16602,R,336609
2037224,14358,5868,0,1604848,315444,17531,L,147114
2037224,5868,14358,0,1604873,315443,17531,R,147114
2036333,11074,10478,0,1603879,315198,17315,L,152380
2036333,10478,11074,0,1603974,315108,17371,R,152380
2051003,12336,1468,0,1623071,320008,16911,R,78516
2051003,1468,12336,0,1623072,319989,16911,L,78516
2052385,15916,14399,0,1634416,320440,16717,R,423488
2052385,14399,15916,0,1624850,320427,16717,L,423488
2046337,13015,524,0,1616669,1000298,16849,L,91720
2046337,524,13015,0,1616668,1086766,16968,R,91720
4242928,20191,16334,0,6829435,931052,17451,L,479416
4242928,16334,20191,0,6829436,931053,17451,R,479416
2043802,18566,1890,0,1612605,317606,17142,L,62762
2043802,1890,18566,0,1612604,317650,16991,R,62762
3991189,12620,22355,0,6347108,1077726,16761,R,82136
3991189,22355,12620,0,6347107,320219,16805,L,82136
2037682,1325,895,0,1605388,1077706,17273,L,83117
2037682,895,1325,0,1605387,315496,17274,R,83117
3909558,849,9765,0,6245089,339638,16287,L,279409
3909558,9765,849,0,6245090,847661,16287,R,279409
3498683,583,11615,0,6450013,793570,16345,L,355846
3498683,11615,583,0,6450014,793569,16345,R,355846
3775106,8236,4640,1,6053651,1004894,16600,L,355789
3775106,4640,8236,1,6053652,1004894,16600,R,355789
3146707,7991,11465,0,4305572,1077667,17114,L,86914
3146707,11465,7991,0,4305573,824896,16862,R,86914
3659589,17066,9879,0,5905415,819872,16942,L,62768
3659589,9879,17066,0,5905414,819873,16942,R,62768
2044592,1082,7480,0,1613824,317875,16756,L,178410
2044592,7480,1082,0,1613823,317926,16756,R,178410
4580571,5659,11549,0,7232605,316825,17214,L,111257
4580571,11549,5659,0,7232606,316825,17214,R,111257
2049968,241,21574,0,1621723,319666,16610,L,112078
2049968,21574,241,0,1621339,319630,16609,R,112078
2034446,15534,1188,0,1633139,314626,17503,L,455924
2034446,1188,15534,0,1633142,314593,17603,R,455924
3309839,578,12400,0,4541682,742060,17552,L,62126
3309839,12400,578,0,4541681,742051,17551,R,62126
2054397,22614,11446,0,1634828,320983,16765,L,299407
2054397,11446,22614,0,1634815,1067597,16765,R,299407
2043035,5397,9993,0,2745248,1174789,17165,R,0
2043035,9993,5397,0,2745247,1174789,17165,L,0
2036353,5509,11699,0,1603906,315188,17529,L,354588
2036353,11699,5509,0,1603905,315175,17529,R,354588
3308798,18827,7067,0,4537103,315430,17327,L,90339
3308798,7067,18827,0,4537104,741848,17322,R,90339
2048372,21101,19116,0,2745928,1154830,16578,R,0
2048372,19116,21101,0,2745927,1154830,16578,L,0
2050738,10738,15971,0,1634502,319648,17573,L,130759
2050738,15971,10738,0,1634501,319777,17573,R,130759
2046777,9617,22829,0,1617275,318676,16934,R,359179
2046777,22829,9617,0,1617276,1201355,16907,L,359179
245007,3048,4523,0,3214588,551547,16233,L,112475
245007,4523,3048,0,3214587,551549,16233,R,112475
2044549,20170,7480,0,1613746,317926,16756,L,103544
2044549,7480,20170,0,1613419,997390,16756,R,103544
2049078,12773,14479,0,1620457,319330,16587,L,173322
2049078,14479,12773,0,1620456,319366,16587,R,173322
4581774,21401,16040,0,7229099,1210592,16797,L,268510
4581774,16040,21401,0,7229100,1154943,16754,R,268510
4065869,16943,16611,0,6450291,878272,16368,L,62110
4065869,16611,16943,0,6450292,878274,16368,R,62110
2035211,1117,3899,0,1602846,1004954,17504,R,288118
2035211,3899,1117,0,1602848,314861,17510,L,288118
2119107,9170,2139,0,1905597,1195315,16534,L,137564
2119107,2139,9170,0,1906850,339441,16535,R,137564
2044354,13091,12195,0,1613459,317811,16819,L,260008
2044354,12195,13091,0,1613458,1154764,16818,R,260008
4584492,17979,12843,0,7240513,982792,17485,L,371513
4584492,12843,17979,0,7240514,798411,17485,R,371513
4584472,22268,1093,1,7227257,1174845,16971,L,57842
4584472,1093,22268,1,7227258,1174845,16971,R,57842
4181187,16693,7649,0,6595247,893769,16225,L,523529
4181187,7649,16693,0,6595248,1040531,16225,R,523529
2041438,10005,7870,0,1609774,316790,17213,R,297811
2041438,7870,10005,0,1609775,316741,17213,L,297811
4575089,13335,13509,0,7236421,1042115,16334,L,25622
4575089,13509,13335,0,7236422,339430,16425,R,25622
4575431,20815,17345,0,7241280,996440,16421,L,182529
4575431,17345,20815,0,7241279,1154407,16421,R,182529
4582698,21041,1438,0,7224362,339495,16261,R,163909
4582698,1438,21041,0,7224361,339496,16287,L,163909
2050790,9700,15130,0,1622860,319935,16605,L,198935
2050790,15130,9700,0,1622752,319884,16605,R,198935
625624,14430,2347,0,3218429,793544,17414,L,207482
625624,2347,14430,0,3218422,552355,17414,R,207482
2023293,14073,18898,1,1585177,931901,17622,L,273478
2023293,18898,14073,1,1585176,931901,17622,R,273478
2057725,10639,11410,0,2746457,1040518,16243,L,0
2057725,11410,10639,0,2746458,1040518,16243,R,0
4579750,11313,3177,0,7222639,1040528,17616,L,98033
4579750,3177,11313,0,7222640,311248,17623,R,98033
3583136,3196,337,0,5551474,809012,16466,L,235747
3583136,337,3196,0,5551475,809013,16466,R,235747
2036434,8583,11074,0,1603976,315214,17320,L,152380
2036434,11074,8583,0,1603975,315108,17371,R,152380
2056578,7964,6525,0,1637515,321546,16267,L,137419
2056578,6525,7964,0,1637514,321502,16267,R,137419
2054408,3532,2437,1,1627081,320978,16765,L,359348
2054408,2437,3532,1,1627080,320978,16765,R,359348
2055589,22238,11419,0,1635158,321297,16415,L,268512
2055589,11419,22238,0,1635167,321284,16415,R,268512
3146393,6249,1363,0,4307167,1174831,17358,L,391415
3146393,1363,6249,0,4307166,741895,17382,R,391415
786323,19684,18881,0,3218996,552151,17492,L,274726
786323,18881,19684,0,3218997,552161,17499,R,274726
4578531,19237,2897,0,7238787,1210580,17305,R,373104
4578531,2897,19237,0,7238788,1210580,17305,L,373104
4062179,15863,7073,0,6444679,884823,16495,L,422696
4062179,7073,15863,0,6444680,884822,16521,R,422696
2049602,4907,14293,0,1621240,319605,16613,L,199707
2049602,14293,4907,0,1621239,319606,16613,R,199707
2052869,1539,10497,0,1634341,320569,17070,L,70754
2052869,10497,1539,0,1634340,1154949,17070,R,70754
3310288,2164,17928,0,4542230,1001465,17574,R,246889
3310288,17928,2164,0,4542229,1042137,17574,L,246889
2040380,23125,20142,1,2744704,1174823,17211,L,0
2040380,20142,23125,1,2744703,1174823,17211,R,0
3781247,22114,7901,0,6063244,780716,16491,R,292300
3781247,7901,22114,0,6063243,780751,16491,L,292300
3310820,4064,2438,0,4538581,999004,16562,L,408696
3310820,2438,4064,0,4538582,742243,16562,R,408696
4580356,264,8488,0,7237047,316275,17352,L,138627
4580356,8488,264,0,7237048,1005182,17302,R,138627
2120626,15303,17936,0,1907389,339636,16231,L,238053
2120626,17936,15303,0,1907388,339634,16231,R,238053
3659615,14625,20235,0,5905465,316360,17298,R,83620
3659615,20235,14625,0,5905464,769762,17297,L,83620
4576427,14942,16862,0,7230299,1154866,16520,L,83926
